X,Y,OBJECTID,ATT_ID,PROGRAM_CO,PARTNER_CO,AT_CODE,ACTIVITY_S,ACTIVITY_D,ACTIVITY_C,LOCATION_C,USAID_CONT,START_DATE,PLANNED_CO,ACTUAL_COM,TOTAL_COST,PERCENT_CO,MALE_BENEF,FEMALE_BEN,MALE_BEN_1,FEMALE_B_1,DATE_TIME_,INPUTTING_,DATE_TIME1,LAST_MODIF,LOCATION_N,GOV_NAME,WBG_CODE,LAST_ON_SI,PLANNED__1,PARTNER_RE,PERMANENT_,PERMANENT1,SubPartner,RECIPIENT,SLOT,Low_FY,High_FY,Number_of_,Temporary_,Temporary1,Male_Ben_2,Female_B_2,Male_Ben_3,Female_B_3,Male_Ben_4,Female_B_4,Temporar_1,Temporar_2,Male_Ben_5,Female_B_5,Male_Ben_6,Female_B_6,Male_Ben_7,Female_B_7,Program__1,Program__2,Total_Co_1,Other_Cont,Location_L,Coordinate,Xcoord,Ycoord,Certifying,Last_Date_,SO_Code,SO_Name,Office,Office_Nam,AT_NAME,AT_SHORT_N,SUBSECTOR_,SUBSECTOR1,SECTOR_COD,SECTOR_NAM,PARTNER_NA,Program_Na,Program_Ty,Program_St,PE_Code,PE_Name,Activity_1,Activity_2,Region_Cod,Region_Nam,PA_Code,PA_Name,Objective_,Objective1,Objectiv_1,Number_of1,Recipient_,Recipient1,Recipien_1,Subpartn_1
3928556.1794,3759073.52080000191927,119204,25018,INP II,BV-SPC,A051,Cancelled,"Project Awarded under TO 14-00001 on May 12th 2014

Ein Yabroud - Deir Jareer Road: This RFTOP is conducted under the High Impact Micro-Infrastructure Initiative (HIMII). The award date is planned to be on May 7th 2014, this RFTOP will be implemented un","
 Project Awarded under TO 14-00001 on May
12th 2014


",301650,1,2014/03/07,2014/05/07,,1,0,1,1,1,1,2014/04/03,INPIIU2,2014/10/26,INPIIU2,Deir Jarir,Ramallah & Al Bireh,WB,,2014/09/01,HIMII,0,0,,,-1,FY14,FY14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Other Infrastructure,1,0,Village,Pointing,35.29082060,31.96771542,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3930474.720400001853704,3761824.431199997663498,119205,25019,INP II,BV-SPC,A051,Cancelled,"

 Project Awarded under TO 14-00001 on May
12th 2014

Deir Jareer - Kufur Malik Road (Segment A) and Kufur Malik Western Entrance Road (Segment B): This RFTOP is conducted under the High Impact Micro-Infrastructure Initiative (HIMII). The RFTOP is plann","

 Project Awarded under TO 14-00001 on May
12th 2014


",301590,1,2014/03/07,2014/05/07,,1,0,0,0,1,1,2014/04/03,INPIIU2,2014/10/26,INPIIU2,Kafr Malik,Ramallah & Al Bireh,WB,,2014/09/01,HIMII,0,1,,,-1,FY14,FY14,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Other,Other Infrastructure,1,0,Village,Pointing,35.30805515,31.98867724,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,Engineering and Construction Management,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3947277.824,3744423.1968,250404,26985,INP_Morg,BV-SPC,A042,On Going,"This project will extend approximately 12.5 km of 8"" diameter gravity sewers and approximately 2 km of 6"" diameter service laterals into high density priority locations within the city of Jericho. The new branch sewers will connect to existing phase I tr",,351920,4379840,2014/11/07,2015/11/25,,4174895,90,2775,2667,2775,2667,2015/06/17,INP2MORG,2016/04/07,INP2MORG,Jericho (Ariha),Jericho,WB,2015/12/29,2015/10/02,,0,0,SAK,,-1,FY15,FY16,2,534,12709,1311,1260,438,421,1026,986,311,7400,1311,1260,438,421,1026,986,NA,NA,4379840,0,Village,GPS,35.45900000,31.85600000,RamiWRI,2015/10/26,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,Construction / renovation of small scale waste water systems,Construction / renovation of small scale waste water systems,Wastewater,Wastewater,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co Ltd
3931915.734299998730421,3823053.834700003266335,257209,27214,INP_Morg,BV-SPC,A051,On Going,"Construction of an approximately 14.2 km two-lane rural collector road in Area C including the
following features:
- Paved shoulders
- Four (4) roundabouts with lighting
- New storm water drainage system
- Retaining structures
- Roadway marking signs and",,010340,14174117,2015/05/18,2016/05/11,,14188396,60,0,0,0,0,2015/07/05,INP2MORG,2016/04/07,INP2MORG,Qabatiya,Jenin,WB,2015/07/30,2016/05/11,TO 15-00005,0,0,,,-1,FY15,FY16,2,953,22672,0,0,0,0,0,0,1008,24000,0,0,0,0,0,0,NA,NA,14174117,0,Village,GPS,35.32100000,32.45400000,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Construction / improvement of regional, main and local roads but not agricultural.","Construction / improvement of (regional, main and and local) roads",Roads,Roads,Transport,"Roads, bridges, rail, etc",Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,4.4.3,Transport Services,CON,Construction/Rehab.,WB,West Bank,4.4,Infrastructure,4,Economic Growth,EG,0,,,,
3935366.6385000012815,3825032.842500001192093,257210,27215,INP_Morg,BV-SPC,W049,On Going,"This project includes connection to the existing Kadim pipeline, construction of approximately 24 km of transmission pipelines with bulk filling stations, construction of a booster pumping station, and reservoir. Project elements consist of the following",,010180,10359834,2015/02/02,2016/05/26,,10545920,60,0,0,10769,10347,2015/07/05,INP2MORG,2016/04/07,INP2MORG,Jenin,Jenin,WB,,2016/05/26,TO 15-00002,0,0,,,-1,FY15,FY16,2,659,15681,0,0,0,0,0,0,515,12240,5087,4888,1699,1633,3982,3826,NA,NA,10359834,0,Village,GPS,35.35200000,32.46900000,RamiWRI,2015/10/26,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,0,,,,
3819483.048599999398,3675941.139300003647804,305204,28051,INP_Morg,BV-SPC,W049,On Going,"This project includes constructing a new water reservoir and booster pump station along with supply and distribution piping. Project elements consist of the following:
- Construction of Facilities
1. Maan Reservoir No. 2  Construct new 3800 m3
2. Maan",,703420,3003176,2015/10/26,2017/06/26,,3003176,10,0,0,25709,24700,2016/01/12,INP2MORG,2016/04/10,INP2MORG,Khan Yunis,Khan Yunis,G,,2017/06/26,TO 15-00009,0,0,Khoudary,,-1,FY16,FY17,2,73,1738,0,0,0,0,0,0,606,14431,0,0,0,0,0,0,NA,NA,3003176,0,Village,GPS,34.31100000,31.33200000,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,G,Gaza Strip,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co.
3821041.521499998867512,3684284.776399999857,305205,28052,INP_Morg,BV-SPC,W049,On Going,"This project includes constructing a new water reservoir and booster pump station along with supply and distribution piping. Project elements consist of the following:
- Construction of Facilities
1. Al Berkah Reservoir  Construct new 3800 m3
2. Al Berk",,653240,3938770,2015/10/26,2017/06/26,,3938770,10,0,0,51201,49193,2016/01/12,INP2MORG,2016/04/07,INP2MORG,Deir al Balah,Deir al Balah,G,,2017/06/26,TO 15-00009,0,0,Khoudary,,-1,FY16,FY17,2,83,1974,0,0,0,0,0,0,663,15777,0,0,0,0,0,0,NA,NA,3938770,0,Village,GPS,34.32500000,31.39600000,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,G,Gaza Strip,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co.
3838518.681499999017,3705430.079099997878075,306404,28063,INP_Morg,BV-SPC,W049,On Going,"This project includes constructing a new water reservoir and booster pump station along with supply and distribution piping.Project elements consist of the following:
- Construction of Facilities:
1. Al Atatrah Reservoir Construct new 3,800 m3
2. Al Ata",,552695,4698584,2015/10/26,2017/06/26,,4698584,10,0,0,30316,29128,2016/01/14,INP2MORG,2016/04/07,INP2MORG,Beit Lahiya,North Gaza,G,,2017/06/26,TO 15-00008,0,0,Khoudary,,-1,FY16,FY17,2,82,1958,0,0,0,0,0,0,740,17618,0,0,0,0,0,0,NA,NA,4698584,0,Village,GPS,34.48200000,31.55800000,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,G,Gaza Strip,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co.
3827832.0104,3690937.685000002384186,306405,28064,INP_Morg,BV-SPC,W049,On Going,"This project includes constructing a new water reservoir and booster pump station along with supply and distribution piping. Project elements consist of the following:
- Construction of Facilities
1. Nuseirat Reservoir  Construct new 3,800 m3
2. Nuseira",,653065,4828854,2015/10/26,2017/06/26,,4826962,10,0,0,53357,51265,2016/01/14,INP2MORG,2016/04/07,INP2MORG,An Nuseirat Camp,Deir al Balah,G,,2017/06/26,TO 15-00008,0,0,Khoudary,,-1,FY16,FY17,2,58,1384,0,0,0,0,0,0,828,19709,0,0,0,0,0,0,NA,NA,4828854,0,Village,GPS,34.38600000,31.44700000,,,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,G,Gaza Strip,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co.
3920115.868299998342991,3815932.132799997925758,310404,28107,INP_Morg,BV-SPC,W049,On Going,Replacement of the existing 1000 cubic meter reservoir with a 2000 cubic meter   on grade reservoir in the village of Arraba.,,010370,929412,2015/10/26,2017/02/16,,929412,10,0,0,6288,6042,2016/02/08,INP2MORG,2016/04/07,kkasbary,Arraba,Jenin,WB,,2017/02/16,TO 15-00010,0,0,Khoudary,,-1,FY16,FY17,2,8,187,0,0,0,0,0,0,138,3293,2971,2854,992,953,2325,2234,NA,NA,929412,0,Village,GPS,35.21500000,32.40000000,kkasbary,2016/04/07,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co.
3936034.5555,3818041.8222,310405,28108,INP_Morg,BV-SPC,W049,On Going,Replacement of existing 500 cubic meter reservoir with 1000 cubic meter at grade reservoir in addition to upgrade 190 LM of two lane access road with shoulder to Jalqamous reservoir.,,010305,760316,2015/10/26,2017/02/16,,760316,10,0,0,1263,1213,2016/02/08,INP2MORG,2016/04/07,kkasbary,Jalqamus,Jenin,WB,,2017/02/16,TO 15-00010,0,0,Khoudary,,-1,FY16,FY17,2,10,239,0,0,0,0,0,0,168,3992,597,573,199,191,467,449,NA,NA,760316,0,Village,GPS,35.35800000,32.41600000,kkasbary,2016/04/07,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co.
3914327.254799999297,3813031.920100003480911,310406,28109,INP_Morg,BV-SPC,W049,On Going,Construction of 1000 cubic meter at grade reservoir n addition to upgrade 62 LM of two lane access road with shoulder to Kafr Rai' reservoir  .,,010465,806225,2015/10/26,2017/02/16,,806225,0,0,0,4668,4485,2016/02/08,INP2MORG,2016/04/07,kkasbary,Kafr Ra'i,Jenin,WB,,2017/02/16,TO 15-00010,0,0,Khoudary,,-1,FY16,FY17,2,6,137,0,0,0,0,0,0,132,3126,2205,2119,737,708,1726,1659,NA,NA,806225,0,Village,GPS,35.16300000,32.37800000,kkasbary,2016/04/07,SO14,Access to Better Quality Water and Other Infrastructure,WRI,Water Resources and Infrastructure,"Cons/rehab. water wells, reservoirs, pump stations, transmission networks","Cons/rehab. water wells, reservoirs, pump stations, large networks",Water,Water,Water_w,Water_WasteWater,Black and Veatch Special Projects Corp.,INP Morganti,Regular,Active,3.1.8,Water Supply and Sanitation,CON,Construction/Rehab.,WB,West Bank,3.1,Health,3,Investing in People,IIP,0,,,,Saqqa and Khoudary Co.
